index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
3379,Illinois,2018-19,Lake Louise Elementary,,Palatine,Cook,,778.0,91.38817481,-1.0,0.64,,
560,Oregon,2018-19,Willamina Elementary,,,Yamhill,,60.0,93.12977099,90.3307888,,,3.053435115
376,Ohio,2018-19,Portsmouth West Elementary,Public,West Portsmouth,Scioto,,116.0,98.28,98.28,,,
385,Oregon,2018-19,Riddle Elementary,,,Douglas,,38.0,95.27896996,94.84978541,,,3.433476395
795,Oklahoma,,Adams Elementary,,Lawton,Comanche,,,-1.0,-1.0,,,
712,North Carolina,2018-19,Rosewood Elementary,,,Wayne,,101.0,-1.0,100.0,,,
1241,Washington,,Rogers Adventist,,College Place,Walla Walla,,,73.53,70.59,,,20.59
281,North Dakota,2017-18,Prairie Elementary,,Medora,Billings,,,-1.0,-1.0,,,
226,Rhode Island,2018-19,Globe Park Elementary,,Woonsocket,,,81.0,-1.0,97.5,,,
23,Illinois,2018-19,Aqsa,,Bridgeview,Cook,,232.0,100.0,-1.0,,,
252,Vermont,2018-19,The Mountain School At Winhall,,,Bennington,,82.0,93.90243902,74.3902439,,,
1037,Minnesota,2017-18,St Cloud Christian,,,Stearns,,14.0,71.43,-1.0,,,28.57
1539,Illinois,2018-19,South Elementary,,Glencoe,Cook,,393.0,98.47328244,-1.0,0.51,0.25,
226,North Carolina,2018-19,Down East Middle School and Smyrna Elementary,,,Carteret,,22.0,-1.0,100.0,,,
522,Colorado,2017-18,Take A Break,Kindergarten,,Boulder,Brighton School District,8.0,100.0,62.5,,,
1952,Florida,2018-19,Plato Seminole,,,,Pinellas,35.0,-1.0,88.57,2.857142857,,
4737,California,2018-19,Harriet Tubman Village Charter,Public,San Diego,San Diego,,48.0,95.0,94.0,,,
222,South Dakota,2017-18,Tiospa Zina Elementary,,,Roberts,,46.0,97.83,-1.0,,,
4777,California,2018-19,Hope Elementary,Public,Porterville,Tulare,,28.0,95.0,95.0,,5.0,
2917,New York,2017-18,Sea Cliff Elementary,Public,Sea Cliff,Nassau,,,96.2,-1.0,3.24,,
1786,Michigan,2018-19,Chatfield,,,Lapeer,Chatfield,53.0,-1.0,81.1,,13.2,
544,Texas,2018-19,Nazareth Academy,,,Victoria,,,92.59,-1.0,,,
240,North Carolina,2018-19,East Elementary,,,Cleveland,,38.0,-1.0,100.0,,,
1462,Ohio,2018-19,Clinton-Massie Elementary,Public,Clarksville,Clinton,,122.0,89.34,83.61,,4.1,
209,Idaho,2018-19,Lakeside Elementary,,Worley,Kootenai,Plummer-Worley,,-1.0,88.0,4.0,,
1839,Illinois,2018-19,John A Renfro Elementary,,Collinsville,Madison,,582.0,98.10996564,-1.0,0.86,0.17,
1462,Washington,,Kent Mountain View Elementary,,Des Moines,King,,,-1.0,-1.0,,,
7306,California,2018-19,Mcdowell School / Childrens Choice,Private,Laguna Niguel,Orange,,12.0,-1.0,-1.0,,,
4013,California,2018-19,Terra Vista Elementary,Public,Rancho Cucamonga,San Bernardino,,203.0,97.0,97.0,,1.0,
2373,Illinois,2018-19,Chelsea Elementary,,Frankfort,Will,,822.0,97.32360097,-1.0,2.55,0.12,
910,Pennsylvania,2017,Kenneth N Butz Jr Elementary,,Nazareth,,,81.0,97.5,-1.0,,,
5119,California,2018-19,Pauma Elementary,Public,Pauma Valley,San Diego,,35.0,95.0,95.0,,5.0,
485,New Jersey,,Princeton Meadow Preschool,,,Mercer,,6.0,-1.0,100.0,,,
3076,Illinois,2018-19,Channing Memorial Elementary,,Elgin,Kane,,434.0,95.16129032,-1.0,0.92,,
2888,California,2018-19,Pioneer Elementary,Public,Davis,Yolo,,82.0,98.0,98.0,,2.0,
229,Virginia,2018-19,Pulaski Elementary,,,Pulaski,New River,92.0,-1.0,100.0,,,
498,Oklahoma,,Central Elementary,,Moore,Cleveland,,,-1.0,91.0,,7.0,
108,Iowa,2018-19,East Elementary,,,O'Brien,,391.0,-1.0,98.7,,,
1881,Florida,2018-19,Englewood Elementary,,,,Duval,66.0,-1.0,89.39,,,
